Px 	Py 	Vx 	Vy 	Px_rmse 	Py_rmse 	Vx_rmse 	Vy_rmse 	NIS 	Yaw 	Yaw Rate 	SensorType
18.1487	6.3772	2.87709	4.06162	0.0540197	0.10879	0.772336	0.433842	0.654886	0.95448	0.452344	1
18.2694	6.61203	2.72165	4.19409	0.0537136	0.110667	0.767652	0.431789	0.654886	0.995177	0.47661	0
18.3995	6.82968	2.5989	4.27412	0.0535012	0.112903	0.763167	0.429909	0.17222	1.02448	0.487478	1
18.5527	6.95819	2.61003	4.15938	0.0532059	0.113479	0.758453	0.427254	0.17222	1.0104	0.437945	0
18.7042	7.1625	2.61769	4.1876	0.0528729	0.11401	0.753702	0.4246	0.726809	1.01212	0.393246	1
18.9087	7.29128	2.7317	4.04546	0.0531636	0.113571	0.749341	0.422333	0.726809	0.976874	0.320318	0
18.9923	7.50006	2.48168	4.13297	0.0529559	0.11312	0.744774	0.419975	4.10098	1.03004	0.399459	1
19.0806	7.76347	2.29398	4.29932	0.052636	0.11316	0.740287	0.417439	4.10098	1.08066	0.440191	0
19.2026	7.96994	2.24509	4.32491	0.0523304	0.113077	0.735869	0.414965	0.333918	1.09198	0.41922	1
19.2813	8.18516	2.09429	4.37788	0.0520739	0.112951	0.731534	0.41253	0.333918	1.12459	0.435372	0
19.3818	8.39482	2.04612	4.3999	0.0518369	0.11271	0.727277	0.410166	2.30411	1.13551	0.406229	1
19.48	8.53974	2.00358	4.30561	0.0516037	0.112066	0.723164	0.408325	2.30411	1.13526	0.381646	0
19.5699	8.74972	1.88207	4.33692	0.0513889	0.111429	0.719108	0.406572	0.579341	1.16136	0.400915	1
19.737	8.91785	1.97276	4.26095	0.0514133	0.111016	0.715737	0.40568	0.579341	1.1372	0.34309	0
19.8074	9.14202	1.78513	4.32421	0.0513258	0.110651	0.712133	0.404582	1.05514	1.17929	0.39613	1
19.9396	9.36466	1.7863	4.35395	0.0521035	0.11036	0.709102	0.403538	1.05514	1.18147	0.372055	0
19.9797	9.59231	1.51364	4.41843	0.0523377	0.110121	0.7055	0.402263	2.58603	1.24075	0.458398	1
20.0663	9.8307	1.42891	4.47707	0.0529524	0.109857	0.702064	0.400812	2.58603	1.26185	0.455282	0
20.1276	10.0791	1.33766	4.54982	0.053618	0.109509	0.698787	0.399126	7.19655	1.28485	0.439728	1
20.1732	10.3516	1.16927	4.65512	0.0541541	0.108989	0.695406	0.397157	7.19655	1.32471	0.461432	0
20.1851	10.5923	0.896221	4.69721	0.0541959	0.10847	0.691793	0.395166	2.59639	1.38226	0.530702	1
20.2425	10.8629	0.781286	4.77372	0.0544675	0.107909	0.688244	0.393128	2.59639	1.40857	0.528428	0
20.2727	11.1194	0.669172	4.82282	0.0546927	0.107368	0.684762	0.391121	4.92542	1.43293	0.511144	1
20.3066	11.3565	0.556221	4.83179	0.0550138	0.106831	0.681346	0.389143	4.92542	1.45618	0.50846	0
20.2456	11.6109	0.0983955	4.84371	0.0547381	0.106325	0.678386	0.387196	9.56094	1.55049	0.649957	1
20.3182	11.8474	0.0957302	4.84148	0.0547652	0.105816	0.675134	0.385276	9.56094	1.55103	0.609861	0
20.3499	12.0804	0.154314	4.84648	0.0550865	0.105302	0.671843	0.383386	4.2279	1.53897	0.504034	1
20.3362	12.3655	-0.0249725	4.91308	0.0552041	0.104928	0.668574	0.381609	4.2279	1.57588	0.515454	0
20.2831	12.6061	-0.359077	4.879	0.0549659	0.104556	0.665634	0.379807	2.71669	1.64426	0.610896	1
20.309	12.8432	-0.405799	4.86239	0.054966	0.104171	0.662554	0.378021	2.71669	1.65406	0.585878	0
20.2974	13.0756	-0.52026	4.83437	0.0550269	0.103757	0.659497	0.376245	2.12248	1.678	0.580913	1
20.2617	13.2879	-0.661881	4.77429	0.0549776	0.10328	0.656505	0.374486	2.12248	1.70855	0.5847	0
20.2243	13.5236	-0.761965	4.76017	0.0548751	0.102806	0.653514	0.372749	1.35288	1.72952	0.55786	1
20.2049	13.7806	-0.855914	4.76946	0.0549244	0.102373	0.650531	0.371041	1.35288	1.74836	0.545685	0
20.1485	14.0088	-1.03523	4.71907	0.0548559	0.101926	0.647648	0.369351	0.772441	1.78675	0.573079	1
20.0936	14.2625	-1.17511	4.71519	0.0547499	0.101534	0.644825	0.367688	0.772441	1.81504	0.571465	0
20.0219	14.4922	-1.31241	4.67569	0.054559	0.101134	0.64206	0.366045	1.35478	1.84444	0.566173	1
19.9131	14.7456	-1.53006	4.65713	0.0543525	0.100822	0.639557	0.364432	1.35478	1.88823	0.583116	0
19.8477	14.9647	-1.5717	4.62061	0.0541392	0.100466	0.636881	0.362842	3.42173	1.89867	0.534538	1
19.82	15.182	-1.58555	4.57129	0.0539724	0.100077	0.634112	0.361267	3.42173	1.90466	0.511383	0
19.6842	15.3905	-2.00243	4.38815	0.0537919	0.0996548	0.632087	0.359863	7.44592	1.9989	0.687164	1
19.6552	15.5777	-2.00054	4.29768	0.0536447	0.0992474	0.629651	0.358612	7.44592	2.00646	0.658086	0
19.5635	15.7836	-2.08562	4.23882	0.0535067	0.0988837	0.627159	0.357405	1.46025	2.02805	0.630205	1
19.4591	15.996	-2.2126	4.17563	0.0533447	0.0985465	0.624716	0.356246	1.46025	2.05806	0.628337	0
19.3596	16.2055	-2.23903	4.15611	0.0532123	0.0982388	0.62215	0.354965	1.97018	2.06495	0.561425	1
19.2508	16.3826	-2.33965	4.04924	0.0530928	0.0981386	0.619601	0.353866	1.97018	2.09473	0.565416	0
